location_id,name,distance,bearing,address_obj.street1,address_obj.city,address_obj.country,address_obj.postalcode,address_obj.address_string,address_obj.street2,address_obj.state
23654441,Glam Caffe,0.4152738488411994,south,Rua Americo Diniz 111 Casas Novas,Coimbra,Portugal,3045-138,"Rua Americo Diniz 111 Casas Novas, Coimbra 3045-138 Portugal",,
13124988,Just Be,0.32846147059650677,east,Avenida Sao Sebastiao 9,Evora,Portugal,7000-767,"Avenida Sao Sebastiao 9, Evora 7000-767 Portugal",,
7224821,Igreja de Nossa Senhora da Lapa,0.05738548677532225,north,Campo da Restauracao,Vila Vicosa,Portugal,7150-000,"Campo da Restauracao, Vila Vicosa 7150-000 Portugal",,
7142467,Oficina da Formiga Ceramica,0.38543677531537224,southwest,Rua da Coutada 77,Ilhavo,Portugal,3830-134,"Rua da Coutada 77, Ilhavo 3830-134 Portugal",,
20999967,Memories Night Club,1.0370434412018548,north,Travessa do Monte do Paco 56,Esgueira,Portugal,3800-036,"Travessa do Monte do Paco 56, Esgueira 3800-036 Portugal",,
17568170,Geres Adventure,1.076784826331957,southwest,Avenida das Pontes N 446,Rio Caldo,Portugal,4845-024,"Avenida das Pontes N 446, Rio Caldo 4845-024 Portugal",,
7140311,Chafariz das Bravas,0.17112764710526715,northwest,Avenida Tulio Espanca,Evora,Portugal,7000-768,"Avenida Tulio Espanca, Evora 7000-768 Portugal",,
15013442,Jardim dos Coimbras,0.019566124130814253,east,Largo de Santa Cruz 28,Braga,Portugal,4700-322,"Largo de Santa Cruz 28, Braga 4700-322 Portugal",,
3869808,Indigo Centro de Estetica e Spa Urbano,0.23311627159256745,southeast,Rua Pedro Alvares Cabral 30,Coimbra,Portugal,3030-069,"Rua Pedro Alvares Cabral 30, Coimbra 3030-069 Portugal",,
,,,,,,,,,,
13238719,Mondrian Lounge Bar,0.024244515237478753,southwest,Largo do Rossio 56,Aveiro,Portugal,3830-755,"Largo do Rossio 56 Praia da Barra, Aveiro 3830-755 Portugal",Praia da Barra,
23654441,Glam Caffe,0.6298515087080829,west,Rua Americo Diniz 111 Casas Novas,Coimbra,Portugal,3045-138,"Rua Americo Diniz 111 Casas Novas, Coimbra 3045-138 Portugal",,
7391516,Patio da Inquisicao,0.008811321869438357,south,Rua Pedro Rocha,Coimbra,Portugal,3000-330,"Rua Pedro Rocha, Coimbra 3000-330 Portugal",,
14891851,Praca Humberto Delgado,0.7185229751119049,north,Praca Humberto Delgado,Aveiro,Portugal,3810-270,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",,
7140301,Museum of Sacred Art of the Cathedral of Evora,0.023704272372104124,southwest,,Evora,Portugal,7000-809,"Marquês de Marialva broad, Evora 7000-809 Portugal",Marquês de Marialva broad,
3189278,O Pioneiro do Mondego,0.530773921503577,west,,Coimbra,Portugal,,Coimbra Portugal,,
23285801,Loyal Collect a Car,0.2690348152454364,northwest,Rua Chafariz Del Rei N33,Evora,Portugal,7005-323,"Rua Chafariz Del Rei N33, Evora 7005-323 Portugal",,
13551608,"Casa Nobre na Travessa do Cordovil, n.0 17",0.008797282704619451,west,Travessa do Cordovil 17,Evora,Portugal,7000-956,"Travessa do Cordovil 17, Evora 7000-956 Portugal",,
4101142,Eco Trilha,0.5212737596047626,east,,Braga,Portugal,4700-437,Braga 4700-437 Portugal,,
25268857,Purity Urban Spa,0.03424856699079014,northeast,Rua Nova do Casal dos Vagares 34,Coimbra,Portugal,3030-141,"Rua Nova do Casal dos Vagares 34 Lote 1 - R/ch, Coimbra 3030-141 Portugal",Lote 1 - R/ch,
7962739,Brios'Arte - Gourmet & Crafts,0.11732074028868696,south,Rua Edmundo Bettencourt 13,Coimbra,Portugal,3000-606,"Rua Edmundo Bettencourt 13 Quinta de São Jerónimo, Coimbra 3000-606 Portugal",Quinta de São Jerónimo,
15038183,Feijao Verde Fun Park,0.9064191817616507,north,Rua Manuel Madeira n0 9,Coimbra,Portugal,3025-999,"Rua Manuel Madeira n0 9, Coimbra 3025-999 Portugal",,
8533184,E.tour Bike Rental,0.4675798264422364,west,Coimbra Inovacao Parque,Coimbra,Portugal,3045-600,"Coimbra Inovacao Parque, Coimbra 3045-600 Portugal",,
7142467,Oficina da Formiga Ceramica,0.7157079122073393,southwest,Rua da Coutada 77,Ilhavo,Portugal,3830-134,"Rua da Coutada 77, Ilhavo 3830-134 Portugal",,
25166242,Galeria Albuquerque E Lima,0.6016702260863522,west,Rua Egas Moniz,Coimbra,Portugal,,"Rua Egas Moniz Lote 14 - Loja 5, Coimbra Portugal",Lote 14 - Loja 5,
15607032,Cais da Ribeira de Esgueira,0.37542362119746286,north,Rua de Santa Luzia 55,Aveiro,Portugal,3800-336,"Rua de Santa Luzia 55, Aveiro 3800-336 Portugal",,
10200835,Balneario Pre-Romano de Bracara,0.12550853160419737,northeast,Rua Nova da Estacao,Braga,Portugal,4700-223,"Rua Nova da Estacao, Braga 4700-223 Portugal",,
4082004,Forum Coimbra,0.7123610547080524,east,Avenida Jose Bonifacio de Andrade e Silva 1,Coimbra,Portugal,3040-389,"Avenida Jose Bonifacio de Andrade e Silva 1 Quinta do Vale Gemil – Almegue Santa Clara, Coimbra 3040-389 Portugal",Quinta do Vale Gemil – Almegue Santa Clara,
4101142,Eco Trilha,0.566399236173008,east,,Braga,Portugal,4700-437,Braga 4700-437 Portugal,,
7902576,Coimbra Secrets Escape Game,0.02194927731678526,northeast,Largo da Portagem 18,Coimbra,Portugal,3000-337,"Largo da Portagem 18, Coimbra 3000-337 Portugal",,
13564666,Jardim do Bacalhau,0.031710082967516214,south,R. de Mendo Estevens,Evora,Portugal,7000-864,"R. de Mendo Estevens, Evora 7000-864 Portugal",,
21327462,Espirito de Liberdade,0.4605864098765436,east,Rua Nova do Sobreiro,Coimbra,Portugal,3030-078,"Rua Nova do Sobreiro, Coimbra 3030-078 Portugal",,
7139660,Convent of Santa Clara (Evora),0.07827365598572669,south,Rua de Serpa Pinto,Evora,Portugal,7000-537,"Rua de Serpa Pinto Santo Antão, Evora 7000-537 Portugal",Santo Antão,
24898818,Capela De Sao Joao Da Ponte,0.5570850323046704,north,Largo Sao Joao Da Ponte - Sao Jose De Sao Lazaro,Braga,Portugal,4715-049,"Largo Sao Joao Da Ponte - Sao Jose De Sao Lazaro, Braga 4715-049 Portugal",,
7142467,Oficina da Formiga Ceramica,0.508209025533933,southwest,Rua da Coutada 77,Ilhavo,Portugal,3830-134,"Rua da Coutada 77, Ilhavo 3830-134 Portugal",,
4037743,Sete Fontes,0.4493077215484995,north,Lugar das Sete Fontes,Braga,Portugal,4715-165,"Lugar das Sete Fontes Sao Victor, Braga 4715-165 Portugal",Sao Victor,
12295163,Zero Emissions Tours,0.3514441783170752,south,,Coimbra,Portugal,,Coimbra Portugal,,
16648757,VR Lounge,0.38120097328763486,south,Rua Doutor Mario Sacramento N0 26,Aveiro,Portugal,3810-102,"Rua Doutor Mario Sacramento N0 26 Colombo II Building, Aveiro 3810-102 Portugal",Colombo II Building,
2294721,Museu D. Diogo de Sousa - Museum of Archeology,0.4775036093207093,north,Rua dos Bombeiros Voluntarios,Braga,Portugal,4700-025,"Rua dos Bombeiros Voluntarios, Braga 4700-025 Portugal",,
13568664,Edificio da Travessa dos Lagares,0.43225397514638453,east,Travessa dos Lagares 18,Evora,Portugal,7000-565,"Travessa dos Lagares 18, Evora 7000-565 Portugal",,
9766480,Minho Center,0.5382193671381763,north,Av. Robert Smith,Braga,Portugal,4700,"Av. Robert Smith Fraião, Braga 4700 Portugal",Fraião,
4107667,Mata Nacional de Vale de Canas,0.2407017323221021,west,Rua de Vale de Canas,Coimbra,Portugal,3030-277,"Rua de Vale de Canas, Coimbra 3030-277 Portugal",,
24898794,Escadorio Do Santuario Do Sameiro,1.3260893101540294,southwest,Avenida Nossa Senhora do Sameiro,Braga,Portugal,4715-616,"Avenida Nossa Senhora do Sameiro, Braga 4715-616 Portugal",,
17568170,Geres Adventure,0.8848853834895044,southwest,Avenida das Pontes N 446,Rio Caldo,Portugal,4845-024,"Avenida das Pontes N 446, Rio Caldo 4845-024 Portugal",,
16359889,Capela de Nossa Senhora de Guadalupe,0.09393591227268863,west,Rua da Regueira,Braga,Portugal,4710-304,"Rua da Regueira, Braga 4710-304 Portugal",,
19701352,Parque Desportivo da Rodovia,0.6215929585609462,west,Avenida Joao Paulo II,Braga,Portugal,4715-615,"Avenida Joao Paulo II, Braga 4715-615 Portugal",,
23545742,Picapeixe,0.7907409921727301,east,Cais da Ribeira da Aldeia,Aveiro,Portugal,3860-544,"Cais da Ribeira da Aldeia, Aveiro 3860-544 Portugal",,
13630920,Mouraria de Evora,0.05551513927542986,northeast,Rua da Mouraria,Evora,Portugal,7004-519,"Rua da Mouraria, Evora 7004-519 Portugal",,
13620273,Cruzeiro da Misericordia de Estremoz,0.08256821658051908,west,Rossio Marques de Pombal,Estremoz,Portugal,7100-020,"Rossio Marques de Pombal, Estremoz 7100-020 Portugal",,
13551548,Ecopista de Evora - Ramal de Mora,0.1631752638010721,southwest,Chafariz d'El Rei,Evora,Portugal,7005-323,"Chafariz d'El Rei, Evora 7005-323 Portugal",,
456686,Jardim da Quinta das Lagrimas,0.893321054280197,north,Rua Antonio Augusto Goncalves,Coimbra,Portugal,3040-999,"Rua Antonio Augusto Goncalves, Coimbra 3040-999 Portugal",,
23596323,Aveiro Spa,0.18295173740423792,southwest,"Rua Jose Afonso, N34 Parque Do Cais Da Fonte Nova",Aveiro,Portugal,,"Rua Jose Afonso, N34 Parque Do Cais Da Fonte Nova, Aveiro Portugal",,
8761597,Bowling House Fun & Coffee,0.30016570628060474,west,Rua do Feital,Braga,Portugal,4700-154,"Rua do Feital Lote 37, 38A, Braga 4700-154 Portugal","Lote 37, 38A",
23988378,Ciclo De Concertos De Coimbra,0.12406785330587221,northeast,"Rua Dom Francisco De Almeida, 14",Coimbra,Portugal,3030-382,"Rua Dom Francisco De Almeida, 14 Culturxis: Cáritas Diocesana De Coimbra, Coimbra 3030-382 Portugal",Culturxis: Cáritas Diocesana De Coimbra,
13620292,Convento dos Congregados,0.19216211941209546,west,Rossio Marques de Pombal,Estremoz,Portugal,7100-020,"Rossio Marques de Pombal, Estremoz 7100-020 Portugal",,
23654441,Glam Caffe,0.5581914045814232,southwest,Rua Americo Diniz 111 Casas Novas,Coimbra,Portugal,3045-138,"Rua Americo Diniz 111 Casas Novas, Coimbra 3045-138 Portugal",,
19701352,Parque Desportivo da Rodovia,0.6742530267219545,southeast,Avenida Joao Paulo II,Braga,Portugal,4715-615,"Avenida Joao Paulo II, Braga 4715-615 Portugal",,
23484406,Statue of Reverend Father Jose Vieira Pereira,0.170730495237581,northeast,R. da Igreja Nova,Canical,Portugal,9200,"R. da Igreja Nova, Canical, Madeira 9200 Portugal",,Madeira
13498195,Clube Tenis Braga,0.8243072301065957,northwest,Rua Candido Oliveira 80,Braga,Portugal,,"Rua Candido Oliveira 80, Braga Portugal",,
