postal_code,cod_distrito,cod_concelho,cod_localidade,nome_localidade,num_cod_postal,ext_cod_postal,desig_postal,nome_concelho,nome_distrito,LatLong
3810-081,1,5,6684,Aveiro,3810,081,AVEIRO,Aveiro,Aveiro,40.62887582899364%2C-8.65228518482195
3810-241,1,5,6684,Aveiro,3810,241,AVEIRO,Aveiro,Aveiro,40.61406567266208%2C-8.622342018296207
3810-034,1,5,6684,Aveiro,3810,034,AVEIRO,Aveiro,Aveiro,40.63989803988801%2C-8.623689068784762
3810-242,1,5,6684,Aveiro,3810,242,AVEIRO,Aveiro,Aveiro,40.638956674813514%2C-8.614828028702632
3810-245,1,5,6684,Aveiro,3810,245,AVEIRO,Aveiro,Aveiro,40.616296089045086%2C-8.621956502189505
3810-246,1,5,6684,Aveiro,3810,246,AVEIRO,Aveiro,Aveiro,40.639291992811955%2C-8.6486001026585
3810-703,1,5,6684,Aveiro,3810,703,AVEIRO,Aveiro,Aveiro,40.6250042526183%2C-8.636592609063841
3810-248,1,5,6684,Aveiro,3810,248,AVEIRO,Aveiro,Aveiro,40.61576632363527%2C-8.61569836474139
3810-249,1,5,6684,Aveiro,3810,249,AVEIRO,Aveiro,Aveiro,40.61327394883547%2C-8.613045307094675
3810-417,1,5,6684,Aveiro,3810,417,AVEIRO,Aveiro,Aveiro,40.606717272022735%2C-8.64226090714725
3810-998,1,5,6684,Aveiro,3810,998,AVEIRO,Aveiro,Aveiro,40.608918961284566%2C-8.6399051159446
3810-250,1,5,6684,Aveiro,3810,250,AVEIRO,Aveiro,Aveiro,40.63669167302247%2C-8.616070672902863
3810-251,1,5,6684,Aveiro,3810,251,AVEIRO,Aveiro,Aveiro,40.639371481335715%2C-8.614752991283867
3810-418,1,5,6684,Aveiro,3810,418,AVEIRO,Aveiro,Aveiro,40.621393565385006%2C-8.654266786217814
3810-252,1,5,6684,Aveiro,3810,252,AVEIRO,Aveiro,Aveiro,40.60556963006113%2C-8.615064207765107
3810-253,1,5,6684,Aveiro,3810,253,AVEIRO,Aveiro,Aveiro,40.626338016640034%2C-8.614175940034166
3810-254,1,5,6684,Aveiro,3810,254,AVEIRO,Aveiro,Aveiro,40.63544038722549%2C-8.623646469828127
3810-476,1,5,6684,Aveiro,3810,476,AVEIRO,Aveiro,Aveiro,40.59328813393604%2C-8.616785107249328
3810-477,1,5,6684,Aveiro,3810,477,AVEIRO,Aveiro,Aveiro,40.59433076019408%2C-8.617384955444294
3810-420,1,5,6684,Aveiro,3810,420,AVEIRO,Aveiro,Aveiro,40.62438648579362%2C-8.647090883412607
3810-011,1,5,6684,Aveiro,3810,011,AVEIRO,Aveiro,Aveiro,40.63541275125083%2C-8.604731389860058
3810-256,1,5,6684,Aveiro,3810,256,AVEIRO,Aveiro,Aveiro,40.609239784841336%2C-8.617380837058782
3810-257,1,5,6684,Aveiro,3810,257,AVEIRO,Aveiro,Aveiro,40.62871884603928%2C-8.61851304908957
3810-258,1,5,6684,Aveiro,3810,258,AVEIRO,Aveiro,Aveiro,40.63048616295017%2C-8.617105496982001
3810-082,1,5,6684,Aveiro,3810,082,AVEIRO,Aveiro,Aveiro,40.64045267512721%2C-8.648788675434677
3810-260,1,5,6684,Aveiro,3810,260,AVEIRO,Aveiro,Aveiro,40.612413932960294%2C-8.627926637989574
3810-023,1,5,6684,Aveiro,3810,023,AVEIRO,Aveiro,Aveiro,40.59368122480824%2C-8.626430336503578
3810-263,1,5,6684,Aveiro,3810,263,AVEIRO,Aveiro,Aveiro,40.62387025242936%2C-8.62148737227302
3810-264,1,5,6684,Aveiro,3810,264,AVEIRO,Aveiro,Aveiro,40.60663175961683%2C-8.611261238969503
3810-265,1,5,6684,Aveiro,3810,265,AVEIRO,Aveiro,Aveiro,40.63081127295723%2C-8.616885240018503
3810-267,1,5,6684,Aveiro,3810,267,AVEIRO,Aveiro,Aveiro,40.63678667721143%2C-8.626397305412823
3810-083,1,5,6684,Aveiro,3810,083,AVEIRO,Aveiro,Aveiro,40.63376847193806%2C-8.646804095777247
3810-269,1,5,6684,Aveiro,3810,269,AVEIRO,Aveiro,Aveiro,40.62990111396666%2C-8.616572062853507
3810-270,1,5,6684,Aveiro,3810,270,AVEIRO,Aveiro,Aveiro,40.636392810404544%2C-8.61464935844675
3810-271,1,5,6684,Aveiro,3810,271,AVEIRO,Aveiro,Aveiro,40.63595222068041%2C-8.614970231004387
3810-273,1,5,6684,Aveiro,3810,273,AVEIRO,Aveiro,Aveiro,40.639395352725614%2C-8.624477421079057
3810-274,1,5,6684,Aveiro,3810,274,AVEIRO,Aveiro,Aveiro,40.63600681020756%2C-8.62423419795923
3810-168,1,5,6684,Aveiro,3810,168,AVEIRO,Aveiro,Aveiro,40.63010299058753%2C-8.657718004010539
3800-370,1,5,6684,Aveiro,3800,370,AVEIRO,Aveiro,Aveiro,40.63995756808026%2C-8.636904783065258
3810-275,1,5,6684,Aveiro,3810,275,AVEIRO,Aveiro,Aveiro,40.61609908976919%2C-8.627512131970045
3800-093,1,5,6684,Aveiro,3800,093,AVEIRO,Aveiro,Aveiro,40.642976036879226%2C-8.657190887589637
3810-084,1,5,6684,Aveiro,3810,084,AVEIRO,Aveiro,Aveiro,40.64016982014765%2C-8.656751850599383
3810-276,1,5,6684,Aveiro,3810,276,AVEIRO,Aveiro,Aveiro,40.610073066625766%2C-8.618551967338005
3810-278,1,5,6684,Aveiro,3810,278,AVEIRO,Aveiro,Aveiro,40.62896728293159%2C-8.626761872900502
3810-279,1,5,6684,Aveiro,3810,279,AVEIRO,Aveiro,Aveiro,40.6398921262883%2C-8.613420902449803
3810-281,1,5,6684,Aveiro,3810,281,AVEIRO,Aveiro,Aveiro,40.61715926642539%2C-8.626853253085374
3810-424,1,5,6684,Aveiro,3810,424,AVEIRO,Aveiro,Aveiro,40.61358685404586%2C-8.634876176213886
3810-425,1,5,6684,Aveiro,3810,425,AVEIRO,Aveiro,Aveiro,40.61397576927096%2C-8.635196440760078
3810-426,1,5,6684,Aveiro,3810,426,AVEIRO,Aveiro,Aveiro,40.614646325230474%2C-8.636904541684627
3810-085,1,5,6684,Aveiro,3810,085,AVEIRO,Aveiro,Aveiro,40.6355906897652%2C-8.648404155692532
3810-282,1,5,6684,Aveiro,3810,282,AVEIRO,Aveiro,Aveiro,40.63646772843854%2C-8.613141023433377
3810-427,1,5,6684,Aveiro,3810,427,AVEIRO,Aveiro,Aveiro,40.62374464769252%2C-8.651604603810531
3810-284,1,5,6684,Aveiro,3810,284,AVEIRO,Aveiro,Aveiro,40.633633628297474%2C-8.605814204713171
3810-285,1,5,6684,Aveiro,3810,285,AVEIRO,Aveiro,Aveiro,40.626766665705695%2C-8.612869877098444
3810-040,1,5,6684,Aveiro,3810,040,AVEIRO,Aveiro,Aveiro,40.63977069586421%2C-8.613277889698136
3810-429,1,5,6684,Aveiro,3810,429,AVEIRO,Aveiro,Aveiro,40.62109876290075%2C-8.659345921600249
3810-430,1,5,6684,Aveiro,3810,430,AVEIRO,Aveiro,Aveiro,40.5877541607828%2C-8.622360503734853
3810-529,1,5,6684,Aveiro,3810,529,AVEIRO,Aveiro,Aveiro,40.62828684233373%2C-8.646747341476216
3810-086,1,5,6684,Aveiro,3810,086,AVEIRO,Aveiro,Aveiro,40.640461398854704%2C-8.653329848734781
3810-027,1,5,6684,Aveiro,3810,027,AVEIRO,Aveiro,Aveiro,40.63091441938765%2C-8.614196473164236
3810-286,1,5,6684,Aveiro,3810,286,AVEIRO,Aveiro,Aveiro,40.6276409565982%2C-8.628473642527165
