location_id,name,distance,bearing,address_obj.street1,address_obj.street2,address_obj.city,address_obj.country,address_obj.address_string,address_obj.postalcode
3941742,Rest. Pizzaria A Variante,1.1360357661383624,northwest,En 234-1,"40° 14' 51.19, -8° 29' 39.20",Coimbra,Portugal,"En 234-1 40° 14' 51.19, -8° 29' 39.20, Coimbra Portugal",
25131407,Alto do Padrao Restaurante,0.08793508800482429,east,Rua Senhora dos Remedios,Padrão Industrial Zone,Lousa,Portugal,"Rua Senhora dos Remedios Padrão Industrial Zone, Lousa 3200-193 Portugal",3200-193
6437542,Restaurante Fornos de Sao Domingos,0.5439033679613005,north,"Rua do Apeadeiro, Fornos",,Coimbra,Portugal,"Rua do Apeadeiro, Fornos, Coimbra 3020-927 Portugal",3020-927
12311563,Restaurante Arco-Iris Pizzaria,0.6041122121885447,northwest,"Rua da Fontinha, n0 5, Corujeira","Corujeira Sao Martinho , Junto Do Centro Cirurgico",Coimbra,Portugal,"Rua da Fontinha, n0 5, Corujeira Corujeira Sao Martinho , Junto Do Centro Cirurgico, Coimbra 3045-069 Portugal",3045-069
25333498,Padaria Central de Sao Martinho,0.681909693945149,northeast,Rua eng Julio Araujo Vieira 25a,25a,Coimbra,Portugal,"Rua eng Julio Araujo Vieira 25a 25a, Coimbra 3040-300 Portugal",3040-300
14782747,Lua Nova,0.7577079733934705,northeast,"Rua padre Julio Marques, Lt2, Rc",,Coimbra,Portugal,"Rua padre Julio Marques, Lt2, Rc, Coimbra 3045-108 Portugal",3045-108
25217204,Irmandade Da Carne,0.2510489937320575,southeast,Rua Infante Dom Henrique 261,São Martinho Do Bispo,Coimbra,Portugal,"Rua Infante Dom Henrique 261 São Martinho Do Bispo, Coimbra 3045-081 Portugal",3045-081
8369017,O Forno,0.30314987660157267,southeast,Rua Infante Dom Henrique 271 R/C,,Coimbra,Portugal,"Rua Infante Dom Henrique 271 R/C, Coimbra 3045-081 Portugal",3045-081
19747750,Petrus Snack Bar,0.4342866554534719,southeast,Rua Do Miradouro 1,,Coimbra,Portugal,"Rua Do Miradouro 1, Coimbra 3045-092 Portugal",3045-092
25217204,Irmandade Da Carne,0.1311230620615589,west,Rua Infante Dom Henrique 261,São Martinho Do Bispo,Coimbra,Portugal,"Rua Infante Dom Henrique 261 São Martinho Do Bispo, Coimbra 3045-081 Portugal",3045-081
23474071,RAGU - Fresh Pasta,0.7220732873873711,east,Avenida Joao das Regras 90,,Coimbra,Portugal,"Avenida Joao das Regras 90, Coimbra 3040-256 Portugal",3040-256
23963544,Aliber,0.7220732873873711,east,Rua Do Vale Da Mata,,Coimbra,Portugal,"Rua Do Vale Da Mata, Coimbra Portugal",
8369017,O Forno,0.09545607665885435,west,Rua Infante Dom Henrique 271 R/C,,Coimbra,Portugal,"Rua Infante Dom Henrique 271 R/C, Coimbra 3045-081 Portugal",3045-081
12579554,Vhita Fit,0.8856850223970881,east,"R. Dom Joao III, 59",Bar do Holmes Place,Coimbra,Portugal,"R. Dom Joao III, 59 Bar do Holmes Place, Coimbra 3030-324 Portugal",3030-324
19747750,Petrus Snack Bar,0.15864572247046724,southwest,Rua Do Miradouro 1,,Coimbra,Portugal,"Rua Do Miradouro 1, Coimbra 3045-092 Portugal",3045-092
11993633,Restaurante Terramar,0.9650846040050572,south,Estrada Espirito Santo das Touregas 9,,Coimbra,Portugal,"Estrada Espirito Santo das Touregas 9, Coimbra 3000-458 Portugal",3000-458
