postal_code,LatLong,location_id,name,distance,bearing,street,city,country,complete_address,type
3810-082,40.64045267512721%2C-8.648788675434677,17593319.0,Cereal World Aveiro,0.0599387771632288,northwest,Avenida 5 de Outubro 18,Aveiro,Portugal,"Avenida 5 de Outubro 18, Aveiro 3810-082 Portugal",restaurant
3810-082,40.64045267512721%2C-8.648788675434677,23487448.0,Bema,0.0632021677527198,west,Avenida 5 de Outubro 41,Aveiro,Portugal,"Avenida 5 de Outubro 41, Aveiro 3810-082 Portugal",restaurant
3810-082,40.64045267512721%2C-8.648788675434677,17593319.0,Cereal World Aveiro,0.0913959961914037,northwest,Avenida 5 de Outubro 18,Aveiro,Portugal,"Avenida 5 de Outubro 18, Aveiro 3810-082 Portugal",restaurant
3810-082,40.64045267512721%2C-8.648788675434677,23487448.0,Bema,0.0744112849816411,west,Avenida 5 de Outubro 41,Aveiro,Portugal,"Avenida 5 de Outubro 41, Aveiro 3810-082 Portugal",restaurant
3810-082,40.64045267512721%2C-8.648788675434677,23487448.0,Bema,0.1114876478806578,north,Avenida 5 de Outubro 41,Aveiro,Portugal,"Avenida 5 de Outubro 41, Aveiro 3810-082 Portugal",restaurant
3810-082,40.64045267512721%2C-8.648788675434677,17593319.0,Cereal World Aveiro,0.1702903072403664,north,Avenida 5 de Outubro 18,Aveiro,Portugal,"Avenida 5 de Outubro 18, Aveiro 3810-082 Portugal",restaurant
3810-082,40.64045267512721%2C-8.648788675434677,17593319.0,Cereal World Aveiro,0.0489988879699977,southwest,Avenida 5 de Outubro 18,Aveiro,Portugal,"Avenida 5 de Outubro 18, Aveiro 3810-082 Portugal",restaurant
3810-082,40.64045267512721%2C-8.648788675434677,23487448.0,Bema,0.1064743846058743,southwest,Avenida 5 de Outubro 41,Aveiro,Portugal,"Avenida 5 de Outubro 41, Aveiro 3810-082 Portugal",restaurant
3810-264,40.60663175961683%2C-8.611261238969503,5982715.0,Q'Doce - A Nossa Tasca,0.2918102380268317,northeast,Rua do Forno n 21,Aveiro,Portugal,"Rua do Forno n 21, Aveiro 3810-264 Portugal",restaurant
3810-264,40.60663175961683%2C-8.611261238969503,5982715.0,Q'Doce - A Nossa Tasca,1.2486472435441411,northeast,Rua do Forno n 21,Aveiro,Portugal,"Rua do Forno n 21, Aveiro 3810-264 Portugal",restaurant
3810-264,40.60663175961683%2C-8.611261238969503,5982715.0,Q'Doce - A Nossa Tasca,1.1464201876318143,northeast,Rua do Forno n 21,Aveiro,Portugal,"Rua do Forno n 21, Aveiro 3810-264 Portugal",restaurant
3810-264,40.60663175961683%2C-8.611261238969503,5982715.0,Q'Doce - A Nossa Tasca,0.2710501014378319,east,Rua do Forno n 21,Aveiro,Portugal,"Rua do Forno n 21, Aveiro 3810-264 Portugal",restaurant
3810-264,40.60663175961683%2C-8.611261238969503,5982715.0,Q'Doce - A Nossa Tasca,0.624209892115304,northeast,Rua do Forno n 21,Aveiro,Portugal,"Rua do Forno n 21, Aveiro 3810-264 Portugal",restaurant
3810-264,40.60663175961683%2C-8.611261238969503,5982715.0,Q'Doce - A Nossa Tasca,0.3754374269053694,southeast,Rua do Forno n 21,Aveiro,Portugal,"Rua do Forno n 21, Aveiro 3810-264 Portugal",restaurant
3810-264,40.60663175961683%2C-8.611261238969503,5982715.0,Q'Doce - A Nossa Tasca,0.8543899666089777,east,Rua do Forno n 21,Aveiro,Portugal,"Rua do Forno n 21, Aveiro 3810-264 Portugal",restaurant
3810-264,40.60663175961683%2C-8.611261238969503,5982715.0,Q'Doce - A Nossa Tasca,0.5784304998006804,southeast,Rua do Forno n 21,Aveiro,Portugal,"Rua do Forno n 21, Aveiro 3810-264 Portugal",restaurant
3810-264,40.60663175961683%2C-8.611261238969503,5982715.0,Q'Doce - A Nossa Tasca,0.858889156794393,south,Rua do Forno n 21,Aveiro,Portugal,"Rua do Forno n 21, Aveiro 3810-264 Portugal",restaurant
3810-264,40.60663175961683%2C-8.611261238969503,5982715.0,Q'Doce - A Nossa Tasca,0.9210260253921292,southeast,Rua do Forno n 21,Aveiro,Portugal,"Rua do Forno n 21, Aveiro 3810-264 Portugal",restaurant
3810-264,40.60663175961683%2C-8.611261238969503,5982715.0,Q'Doce - A Nossa Tasca,0.4601326402035295,east,Rua do Forno n 21,Aveiro,Portugal,"Rua do Forno n 21, Aveiro 3810-264 Portugal",restaurant
3810-265,40.63081127295723%2C-8.616885240018503,6200622.0,Atrium,0.2287560939267301,east,Av. Dr. Francisco Sa Carneiro,Aveiro,Portugal,"Av. Dr. Francisco Sa Carneiro Jardim do Pavilhão dos Galitos, Aveiro 3810-265 Portugal",restaurant
3810-265,40.63081127295723%2C-8.616885240018503,6200622.0,Atrium,0.1913662749323092,south,Av. Dr. Francisco Sa Carneiro,Aveiro,Portugal,"Av. Dr. Francisco Sa Carneiro Jardim do Pavilhão dos Galitos, Aveiro 3810-265 Portugal",restaurant
3810-265,40.63081127295723%2C-8.616885240018503,6200622.0,Atrium,0.3986214279886066,southeast,Av. Dr. Francisco Sa Carneiro,Aveiro,Portugal,"Av. Dr. Francisco Sa Carneiro Jardim do Pavilhão dos Galitos, Aveiro 3810-265 Portugal",restaurant
3810-265,40.63081127295723%2C-8.616885240018503,6200622.0,Atrium,0.3365554767036848,east,Av. Dr. Francisco Sa Carneiro,Aveiro,Portugal,"Av. Dr. Francisco Sa Carneiro Jardim do Pavilhão dos Galitos, Aveiro 3810-265 Portugal",restaurant
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.7185229751119049,north,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.0954992799358747,northwest,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.3484103345338578,east,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.0430291601010036,west,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.5981238628209288,north,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.0751613188558908,northeast,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.3089326893792147,southeast,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,1.0807157090530597,northwest,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.5262442753693126,northwest,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.3818818666636381,northwest,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.7215025661308897,east,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.6131914217756184,north,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.4373867709250562,north,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.400830525832909,north,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.9789132670267516,north,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.1581213638735653,southeast,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.3962902901653938,west,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
3810-270,40.636392810404544%2C-8.61464935844675,14891851.0,Praca Humberto Delgado,0.2460420670842086,southeast,Praca Humberto Delgado,Aveiro,Portugal,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",attraction
